Sample_Code,Label
"#include <robust_var_2>
#include <vector>

using namespace std;

class Graph {
    int V;
    vector<vector<int>> adj;

    void dfs(int v, vector<bool>& robust_var_1) {
        robust_var_1[v] = true;
        cout << v << "" "";
        for (int neighbor : adj[v]) {
            if (!robust_var_1[neighbor]) {
                dfs(neighbor, robust_var_1);
            }
        }
    }

public:
    Graph(int V) : V(V), adj(V) {}

    void addEdge(int u, int v) {
        adj[u].push_back(v);
        adj[v].push_back(u);
    }

    void findConnectedComponents() {
        vector<bool> robust_var_1(V, robust_var_0);
        int componentCount = 0;

        cout << ""Connected Components:\n"";
        for (int v = 0; v < V; v++) {
            if (!robust_var_1[v]) {
                cout << ""Component "" << ++componentCount << "": "";
                dfs(v, robust_var_1);
                cout << endl;
            }
        }
    }
};

int main() {
    Graph g(5);
    g.addEdge(0, 1); // Component 1
    g.addEdge(2, 3); // Component 2
    g.addEdge(3, 4); 

    g.findConnectedComponents();
    return 0;
}",1
"import Java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner scan = new Scanner(System.in);
		int a = Integer.parseInt(scan.next());
		int b = Integer.parseInt(scan.next());
		scan.close();

		if(a*b%2 == 1){
			System.out.print(""Odd"");
		}else {
			System.out.print(""Even"");
		}
		return ;
	}
}",0
"public class BinarySearchTree {

    // Root of BST
    BstNode root;

    BinarySearchTree() {
        root = null;
    }

    void Insert(int data) {
        root = Insert(root, data);
    }

    BstNode Insert(BstNode root, int data) {

        if (root == null) {
            root = new BstNode(data);
        } else if (data < root.data)
            root.Left = Insert(root.Left, data);
        else if (data > root.data)
            root.Right = Insert(root.Right, data);

        return root;
    }

    void InOrder() {
        InOrder(root);
    }

    void InOrder(BstNode root) {
        if (root != null) {
            InOrder(root.Left);
            System.out.print(root.data + "" "");
            InOrder(root.Right);
        }
    }

    void PreOrder() {
        PreOrder(root);
    }

    void PreOrder(BstNode root) {
        if (root == null)
            return;
        System.out.print(root.data + "" "");
        PreOrder(root.Left);
        PreOrder(root.Right);
    }

    void PostOrder() {
        PostOrder(root);
    }

    void PostOrder(BstNode root) {
        if (root == null)
            return;
        PostOrder(root.Left);
        PostOrder(root.Right);
        System.out.print(root.data + "" "");
    }

    int Height() {
        return Height(root);
    }

    int Height(BstNode root) {
        if (root == null)
            return -1;
        return Math.max(Height(root.Left), Height(root.Right)) + 1;
    }

    boolean Search(int data) {
        return Search(root, data);
    }

    boolean Search(BstNode root, int data) {
        boolean result;
        if (root == null) {
            result = false;
        } else if (root.data == data) {
            result = true;
        } else if (data <= root.data) {
            result = Search(root.Left, data);
        } else {
            result = Search(root.Right, data);
        }
        return result;
    }

    void Delete(int data) {
        Delete(root, data);
    }

    BstNode Delete(BstNode root, int data) {
        if (root == null)
            return root;
        else if (data < root.data)
            root.Left = Delete(root.Left, data);
        else if (data > root.data)
            root.Right = Delete(root.Right, data);
        else // found
        {
            // Case 1: No child
            if (root.Left == null && root.Right == null) {
                // delete root;
                root = null;
            }
            // Case 2: One child
            else if (root.Left == null) {
                root = root.Right;
            } else if (root.Right == null) {
                root = root.Left;
            }
            // Case 3: 2 children
            else {
                BstNode temp = FindMin(root.Right);
                root.data = temp.data;
                root.Right = Delete(root.Right, temp.data);
            }
        }
        return root;
    }

    BstNode FindMin(BstNode root) {
        while (root.Left != null)
            root = root.Left;
        return root;
    }
}",0
"#include <iostream>
#include <cmath>

double ln2_exp_series(int terms) {
  double lnValue = 0.0;

  for (int n = 1; n <= terms; n++) {
    lnValue += (pow(2, n) / n); // Series expansion
  }
  return lnValue;
}

int main() {
  double ln2 = ln2_exp_series(100000);
  std::cout << ""Approximation of ln(2) using Taylor series for e^x = "" << ln2 << std::endl;
  return 0;
}",1
"robust_var_0 Java.util.Scanner;

public class PlusGrandDeTrois {
  public static void main(String[] args) {
    // Création d'un objet Scanner pour lire robust_var_1 entrées de l'utilisateur
    Scanner scanner = new Scanner(System.in);

    // Demande à l'utilisateur de saisir robust_var_1 trois entiers
    System.out.print(""Entrez le premier entier : "");
    int a = scanner.nextInt();

    System.out.print(""Entrez le deuxième entier : "");
    int b = scanner.nextInt();

    System.out.print(""Entrez le troisième entier : "");
    int c = scanner.nextInt();

    // Détermination du plus grand robust_var_2
    int plusGrand;
    
    // Comparaison pour trouver le plus grand robust_var_2
    if (a >= b && a >= c) {
      plusGrand = a;
    } else if (b >= a && b >= c) {
      plusGrand = b;
    } else {
      plusGrand = c;
    }

    // Affichage du plus grand robust_var_2
    System.out.println(""Le plus grand robust_var_2 parmi "" + a + "", "" + b + "" et "" + c + "" est "" + plusGrand + ""."");
",1
"#include <iostream>

double ln2_continued_fraction(int terms) {
  double fraction = 0.0;

  for (int i = terms - 1; i > 0; i--) {
    fraction = 1.0 / (i + fraction);
  }
  return 1 + fraction; // Adding the initial 1
}

int main() {
  double ln2 = ln2_continued_fraction(100);
  std::cout << ""Approximation of ln(2) using continued fractions = "" << ln2 << std::endl;
  return 0;
}",1
"def liters_to_centiliters(liters):
  return liters * 100

def centiliters_to_liters(centiliters):
  return centiliters / 100

def main():
  try:
    liters = float(input(""Enter volume in liters: ""))
    centiliters = liters_to_centiliters(liters)
    print(f""{liters} liters is equal to {centiliters} centiliters"")

    centiliters_input = float(input(""Enter volume in centiliters: ""))
    liters_output = centiliters_to_liters(centiliters_input)
    print(f""{centiliters_input} centiliters is equal to {liters_output} liters"")

  except ValueError:
    print(""Please enter a valid number."")

if __name__ == ""__main__"":
  main()",1
"// ============================================================
// 18 - Doubly Linked List Deletion
// In a doubly linked list, deletion is more efficient because
// each node knows its previous neighbor, so no separate
// ""previous pointer"" traversal is needed.
// Handles: delete head, delete tail, delete middle node.
// Time Complexity: O(n) to find, O(1) to remove
// ============================================================

public class DoublyLinkedListDeletion {

    // --- Node definition ---
    static class Node {
        int data;
        Node next;
        Node prev;

        Node(int data) {
            this.data = data;
            this.next = null;
            this.prev = null;
        }
    }

    // --- Doubly Linked List with deletion operations ---
    static class DLinkedList {
        Node head;
        Node tail;

        // Insert at end for building the list
        void insert(int data) {
            Node newNode = new Node(data);

            if (head == null) {
                head = newNode;
                tail = newNode;
                return;
            }

            newNode.prev = tail;
            tail.next = newNode;
            tail = newNode;
        }

        // Delete the first occurrence of a node with the given value
        // Algorithm:
        //   1. Find the target node by traversing from head.
        //   2. Update the previous node's next pointer.
        //   3. Update the next node's prev pointer.
        //   4. Handle edge cases: deleting head or tail.
        void delete(int target) {
            Node current = head;

            // Search for the target node
            while (current != null) {
                if (current.data == target) {
                    break; // Found the node to delete
                }
                current = current.next;
            }

            // Target not found
            if (current == null) {
                System.out.println(""Value "" + target + "" not found."");
                return;
            }

            // Case 1: Node to delete is the head
            if (current == head) {
                head = head.next;
                if (head != null) {
                    head.prev = null; // New head has no predecessor
                } else {
                    tail = null; // List is now empty
                }
            }
            // Case 2: Node to delete is the tail
            else if (current == tail) {
                tail = tail.prev;
                if (tail != null) {
                    tail.next = null; // New tail has no successor
                } else {
                    head = null; // List is now empty
                }
            }
            // Case 3: Node to delete is in the middle
            else {
                // Link previous node directly to the node after current
                current.prev.next = current.next;
                // Link next node back to the node before current
                current.next.prev = current.prev;
            }

            System.out.println(""Deleted: "" + target);
        }

        // Print forward
        void displayForward() {
            Node current = head;
            System.out.print(""Forward: "");
            while (current != null) {
                System.out.print(current.data + "" <-> "");
                current = current.next;
            }
            System.out.println(""null"");
        }
    }

    // --- Example Usage ---
    public static void main(String[] args) {
        DLinkedList list = new DLinkedList();

        list.insert(10);
        list.insert(20);
        list.insert(30);
        list.insert(40);
        list.insert(50);

        list.displayForward();
        // Output: Forward: 10 <-> 20 <-> 30 <-> 40 <-> 50 <-> null

        list.delete(30); // Delete middle
        list.displayForward();
        // Output: Forward: 10 <-> 20 <-> 40 <-> 50 <-> null

        list.delete(10); // Delete head
        list.displayForward();
        // Output: Forward: 20 <-> 40 <-> 50 <-> null

        list.delete(50); // Delete tail
        list.displayForward();
        // Output: Forward: 20 <-> 40 <-> null

        list.delete(99); // Value not present
        // Output: Value 99 not found.
    }
}
",1
"import Java.io.*;
import Java.util.*;

public class Main {

	final static long MOD = 1000000007;
	public static String[] Ws = null;
	public static int wsIndx = 0;
	public static BufferedReader in = null;
	public static void main(String[] args) throws Exception {


		String ans =""Yes"";
		String w = nextString();

		int[] alp = new int['z'-'a'+1];
		Arrays.fill(alp,0);
		for(int i=0;i<w.length();i++){
			alp['z'-w.charAt(i)]++;
		}
		for(int i=0;i<alp.length;i++){
			if(alp[i]%2==1){
				ans=""No"";
				break;
			}
		}
		System.out.println(ans);

	}


	public static void check() throws Exception{
		if(in == null){
			in = new BufferedReader(new InputStreamReader(System.in));
		}
		if(Ws==null || Ws.length<=wsIndx){
			Ws = in.readLine().split("" "");
			wsIndx=0;
		}
	}
	public static int nextInt()throws Exception{
		check();
		return Integer.parseInt(Ws[wsIndx++]);
	}

	public static long nextLong()throws Exception{
		check();
		return Long.parseLong(Ws[wsIndx++]);
	}

	public static String nextString()throws Exception{
		check();
		return Ws[wsIndx++];
	}

	public static int[] nextInts()throws Exception{
		check();
		int[] tmp = new int[Ws.length];
		for(int i=0;i<tmp.length;i++){
			tmp[i]=Integer.parseInt(Ws[i]);
		}
		wsIndx=Ws.length;
		return tmp;
	}

	public static long[] nextLongs()throws Exception{
		check();
		long[] tmp = new long[Ws.length];
		for(int i=0;i<tmp.length;i++){
			tmp[i]=Long.parseLong(Ws[i]);
		}
		wsIndx=Ws.length;
		return tmp;
	}

	public static String[] nextStrings()throws Exception{
		check();
		wsIndx=Ws.length;
		return Ws;
	}


}",0
"#include <stdio.h>

void mix_volumes(double robust_var_0, double dl1, double liters2, double dl2, double* robust_var_2, double* total_dl) {
  double total_dl_temp = (robust_var_0 * 10 + dl1) + (liters2 * 10 + dl2);
  *robust_var_2 = total_dl_temp / 10;
  *total_dl = (int)total_dl_temp % 10;
}

int main() {
  double robust_var_0 = 2, dl1 = 5;
  double liters2 = 1, dl2 = 7;

  double robust_var_2, total_dl;
  mix_volumes(robust_var_0, dl1, liters2, dl2, &robust_var_2, &total_dl);

  printf(""Total robust_var_1: %.2f liters and %.2f deciliters.\n"", robust_var_2, total_dl);

  return 0;
}",1
