problem_id,Sample_Code,Generated,Language,Source
Prob3353,"import Java.util.*;
public class Main {
	public static void main(String[] args){
		Scanner sc = new Scanner(System.in);
		
    int nums[] = new int[3];
   	boolean irj = true;
   
   	for(int i = 0;i < 3;i++) nums[i] = sc.nextInt();
    Arrays.sort(nums); 
   
   	if(nums[0] != 5) irj = false;
   	if(nums[1] != 5) irj = false;
   	if(nums[2] != 7) irj = false; 
     
    if(irj) System.out.print(""YES"");
    else System.out.println(""NO"");
   
	}
}",Human,Java,CodeNet
Prob6275,"#include <stdio.h>
#include <string.h>
#include <ctype.h>

void supprimerVoyelles(char* chaine) {
  char voyelles[] = ""aeiouAEIOU"";
  char* destination = chaine;
  
  while (*chaine) {
    // Vérifie si le caractère n'est pas une voyelle
    if (strchr(voyelles, *chaine) == NULL) {
      *destination++ = *chaine;
    }
    chaine++;
  }
  
  *destination = '\0'; // Terminaison de la chaîne
}

int main() {
  char chaine[100];
  
  printf(""Entrez une chaîne de caractères: "");
  fgets(chaine, sizeof(chaine), stdin);
  
  // Supprime le saut de ligne à la fin de la chaîne, s'il y en a un
  size_t longueur = strlen(chaine);
  if (longueur > 0 && chaine[longueur - 1] == '\n') {
    chaine[longueur - 1] = '\0';
  }
  
  supprimerVoyelles(chaine);
  
  printf(""Chaîne après suppression des voyelles: %s\n"", chaine);
  
  return 0;
}",AI,C,ChatGPT-4
Prob97,"import Java.util.Scanner;

public class MoodTracker {
  public static void main(String[] args) {
    Scanner scanner = new Scanner(System.in);
    System.out.print(""Enter your mood today: "");
    String mood = scanner.nextLine();
    System.out.println(""Your mood today is: "" + mood);
    scanner.close();
  }
}",AI,Java,ChatGPT-4
Prob5190,"#include <bits/stdc++.h>
using namespace std;

int main() {
  int n;
  cin >> n;
  cout << n%10 + n/10%10 + n/100 << endl;
}",Human,C++,CodeNet
Prob1082,"N,M=map(int,input().split())
L,R=map(int,input().split())
for i in range(M-1):
  H,I=map(int,input().split())
  if H>L:
    L=H
  if R>I:
    R=I
  if R<L:
    break
if R<L:
  print(0)
else:
  ans=list(range(L,R+1))
  print(len(ans))",Human,Python,CodeNet
Prob3260,"import Java.util.Scanner;

class Main {
  public static void main(String[] args) {
    Scanner sc = new Scanner(System.in);
    int a = Integer.parseInt(sc.next());
    int b = Integer.parseInt(sc.next());

    System.out.println(((a * b) % 2 == 0) ? ""Even"" : ""Odd"");
  }
}",Human,Java,CodeNet
Prob320,"n,k,c=map(int, input().split())
s=list(input())
L=[]
R=[]

i=0
while i<n: 
  if s[i]=='o':
    L.append(i+1)
    i+=(c+1)
  else:
    i+=1

j=0
s2=s[::-1]
while j<n: 
  if s2[j]=='o':
    R.append(n-j)
    j+=(c+1)
  else:
    j+=1
R=R[::-1]    

if len(L)<=k:
  for p in range(min(len(L),len(R))):
    if L[p]==R[p]:
      print(L[p])",Human,Python,CodeNet
Prob6740,"#include <iostream>
#include <stdio.h>
#include <string.h>
using namespace std;
const int N=1000005;
int n,m;
int fa[N],dis[N];
int finds(int x) {
 if(x==fa[x]) return x;
 int ret=fa[x];
 fa[x]=finds(fa[x]);
 dis[x]+=dis[ret];
 return fa[x];
}
int main() {
 scanf(""%d%d"",&n,&m);
 for (int i=1;i<=n;++i) fa[i]=i;
 for (int i=1;i<=m;++i) {
  int x,y,d;
  scanf(""%d%d%d"",&x,&y,&d);
  int fx=finds(x),fy=finds(y);
  if(fx==fy && (dis[x]-dis[y])!=d) {
   puts(""No"");
   return 0;
  }
  if(fx!=fy) {
   fa[fx]=fy;
   dis[fx]=-dis[x]+dis[y]+d;
  }
 }
 puts(""Yes"");
 return 0;
}",Human,C++,CodeNet
Prob1320,"import Java.util.*;
import Java.io.*;

class Main {
  public static void main(String[] args) {
    Scanner sc = new Scanner(System.in);
    PrintWriter out = new PrintWriter(System.out);
    int a = Integer.parseInt(sc.next());
    int b = Integer.parseInt(sc.next());

    if (a % 2 == 1 && b % 2 == 1) {
      out.printf(""Odd\n"");
    } else {
      out.printf(""Even\n"");
    }
    out.flush();
  }
}",Human,Java,CodeNet
Prob6833,"def nature_triangle(a, b, c):
  if a == b == c:
    return ""Équilatéral""
  elif a == b or b == c or a == c:
    return ""Isocèle""
  else:
    return ""Scalène""

# Exemple d'utilisation
a, b, c = 3, 4, 5
nature = nature_triangle(a, b, c)
print(f""Le triangle est : {nature}"")",AI,Python,ChatGPT-3.5
Prob1165,"#include <stdio.h>
#include <stdbool.h>
#include <string.h>

struct Person {
  char name[50];
  int age;
};

bool estEgalArraysPersonnes(struct Person* arr1, int size1, struct Person* arr2, int size2) {
  if (size1 != size2) return false;
  for (int i = 0; i < size1; ++i) {
    if (strcmp(arr1[i].name, arr2[i].name) != 0 || arr1[i].age != arr2[i].age) {
      return false;
    }
  }
  return true;
}

int main() {
  struct Person arr1[] = {{""Alice"", 30}, {""Bob"", 25}};
  struct Person arr2[] = {{""Alice"", 30}, {""Bob"", 25}};
  struct Person arr3[] = {{""Charlie"", 35}, {""Alice"", 30}};

  printf(""arr1 est égal à arr2: %d\n"", estEgalArraysPersonnes(arr1, 2, arr2, 2));
  printf(""arr1 est égal à arr3: %d\n"", estEgalArraysPersonnes(arr1, 2, arr3, 2));

  return 0;
}",AI,C,ChatGPT-3.5
Prob560,"#include <iostream>
#include <algorithm>
#include <queue>
#include <vector>

using namespace std;

typedef priority_queue<int,vector<int>,greater<int>> minpq;

int main() {
    int n, k, q;
    cin >> n >> k >> q;
    int a[n], best = 1000000000;
    for (auto &ai:a) cin >> ai;
    for (size_t t=0; t<n; t++) {
        int y = a[t];
        minpq chosen;
        for (int i=0; i<n; i++) {
            minpq buf;
            for ( ; y <= a[i] && i < n; i++)
                if (i != (int)t)
                    buf.push(a[i]);
            int len = (int)buf.size();
            for (int j=0; j<len-k+1; j++) {
                chosen.push(buf.top());
                buf.pop();
            }
        }
        int x = y;
        for (int i=0; i<q-1; i++) {
            if (chosen.empty()) {
                x = -1;
                break;
            } else {
                x = chosen.top();
                chosen.pop();
            }
        }
        if (x != -1)
            best = min(best, x-y);
    }
    cout << best << '\n';
    return 0;
}",Human,C++,CodeNet
Prob628,"#include<iostream>
using namespace std;

int main(){
while(1){
	int a[100000+2],n,k,ans=0,sum=0;
	scanf(""%d%d"",&n,&k);
if(n==0&&k==0)break;
	for(int i=0;i<n;i++){
		scanf(""%d"",&a[i]);
	}
	for(int i=0;i<k;i++){
		sum+=a[i];
	}
	ans=sum;
	for(int i=k;i<n;i++){
		sum+=a[i]-a[i-k];
		if(ans<sum)ans=sum;
	}
	printf(""%d\n"",ans);
}
}",Human,C++,CodeNet
Prob1414,"H, W, A, B = map(int, input().split())
answer = 0
mod = 1000000007
factorial = [1]
for n in range(1, H+W):
  factorial.append(factorial[n-1]*n%mod)
def power(x, y):
  if y == 0:
    return 1
  elif y == 1:
    return x % mod
  elif y % 2 == 0:
    return power(x, y//2) ** 2 % mod
  else:
    a = power(x, y//2) ** 2
    return a * x % mod
inverseFactorial = [0] * (H+W)
inverseFactorial[H+W-1] = power(factorial[H+W-1], mod-2)
for n in range(H+W-2, -1, -1):
  inverseFactorial[n] = inverseFactorial[n+1] * (n+1) % mod
def combi(n, m):
  return factorial[n] * inverseFactorial[m] *inverseFactorial[n-m]%mod

for i in range(B+1, W+1):
  answer = (answer + combi(H-A-2+i, i-1)*combi(A+W-i-1,W-i)) % mod
print(answer)",Human,Python,CodeNet
Prob79,"import Java.util.Arrays;

public class SimpleTransformer {
  private int dModel;
  private int numHeads;
  private double[][] wq, wk, wv, w1, w2;

  public SimpleTransformer(int dModel, int numHeads) {
    this.dModel = dModel;
    this.numHeads = numHeads;
    wq = randomMatrix(dModel, dModel);
    wk = randomMatrix(dModel, dModel);
    wv = randomMatrix(dModel, dModel);
    w1 = randomMatrix(dModel, dModel * 4);
    w2 = randomMatrix(dModel * 4, dModel);
  }

  private double[][] randomMatrix(int rows, int cols) {
    double[][] matrix = new double[rows][cols];
    for (int i = 0; i < rows; i++) {
      for (int j = 0; j < cols; j++) {
        matrix[i][j] = Math.random();
      }
    }
    return matrix;
  }

  public double[][] positionalEncoding(int position) {
    double[][] encoding = new double[position][dModel];
    for (int pos = 0; pos < position; pos++) {
      for (int i = 0; i < dModel; i += 2) {
        encoding[pos][i] = Math.sin(pos / Math.pow(10000, (double) i / dModel));
        if (i + 1 < dModel) {
          encoding[pos][i + 1] = Math.cos(pos / Math.pow(10000, (double) (i + 1) / dModel));
        }
      }
    }
    return encoding;
  }

  public double[] feedForward(double[] x) {
    double[] z = new double[dModel * 4];
    // Implement feed-forward layer
    return z; // Placeholder
  }

  public double[][] layerNorm(double[][] x) {
    double[][] normalized = new double[x.length][x[0].length];
    for (int i = 0; i < x.length; i++) {
      double mean = Arrays.stream(x[i]).average().orElse(0);
      double variance = Arrays.stream(x[i]).map(val -> Math.pow(val - mean, 2)).average().orElse(0);
      double std = Math.sqrt(variance);
      for (int j = 0; j < x[i].length; j++) {
        normalized[i][j] = (x[i][j] - mean) / (std + 1e-6);
      }
    }
    return normalized;
  }

  public double[][] scaledDotProductAttention(double[][] q, double[][] k, double[][] v, double[][] mask) {
    // Implement attention logic with masking
    return new double[0][0]; // Placeholde",AI,Java,ChatGPT-4
